geo_id,est_total_households_official,est_avg_household_size,est_total_families_official,est_avg_families_size
0500000US01003,83501,2.57,55354,3.18
0500000US01015,44264,2.51,30110,2.99
0500000US01043,30323,2.71,21587,3.20
0500000US01049,26462,2.66,19148,3.16
0500000US01051,30155,2.57,22103,3.05
0500000US01055,38625,2.62,26319,3.13
0500000US01069,38861,2.67,25002,3.40
0500000US01073,255940,2.51,159115,3.22
0500000US01077,38670,2.34,27140,2.77
0500000US01081,59336,2.66,37314,3.29
0500000US01083,32333,2.89,23006,3.48
0500000US01089,152723,2.34,97542,2.94
0500000US01095,36022,2.64,24111,3.24
0500000US01097,158627,2.57,100153,3.27
0500000US01101,87553,2.50,54249,3.23
0500000US01103,45851,2.56,32627,3.11
0500000US01115,30765,2.81,22372,3.36
0500000US01117,80944,2.63,55341,3.19
0500000US01121,31219,2.45,21701,2.94
0500000US01125,74053,2.68,48006,3.26
0500000US01127,24870,2.53,16729,3.05
0500000US02020,105285,2.71,69667,3.27
0500000US02090,36378,2.61,24187,3.05
0500000US02170,32198,3.27,22647,3.96
0500000US04001,21936,3.22,13927,4.37
0500000US04003,49751,2.40,31105,3.07
0500000US04005,47275,2.70,29827,3.29
0500000US04013,1582464,2.75,1043279,3.36
0500000US04015,90270,2.28,56545,2.78
0500000US04017,34285,3.14,22926,3.93
0500000US04019,402323,2.51,246052,3.16
0500000US04021,147936,2.84,109641,3.27
0500000US04025,100836,2.25,60140,2.84
0500000US04027,74532,2.76,57564,3.16
0500000US05007,100128,2.69,72344,3.13
0500000US05031,42631,2.46,26748,3.05
0500000US05045,43701,2.74,27357,3.43
0500000US05051,40407,2.40,27143,2.88
0500000US05069,25689,2.38,14864,3.20
0500000US05085,28132,2.59,20157,3.04
0500000US05119,157678,2.45,97688,3.11
0500000US05125,43496,2.76,32652,3.14
0500000US05131,51739,2.43,34503,2.94
0500000US05143,90001,2.54,58171,3.08
0500000US05145,29577,2.53,20733,3.07
0500000US06001,575410,2.84,381320,3.42
0500000US06007,88636,2.54,51467,3.14
0500000US06013,396133,2.88,285418,3.36
0500000US06017,72774,2.60,49875,3.13
0500000US06019,309519,3.16,220824,3.73
0500000US06023,55773,2.37,29581,3.01
0500000US06025,41764,4.11,30792,4.99
0500000US06029,273167,3.17,201894,3.69
0500000US06031,43727,3.15,33774,3.53
0500000US06033,26774,2.37,16035,2.99
0500000US06037,3313908,2.99,2193349,3.69
0500000US06039,44484,3.35,33834,3.75
0500000US06041,104954,2.40,67597,2.92
0500000US06045,33794,2.52,21433,3.12
0500000US06047,79487,3.38,57977,3.93
0500000US06053,126299,3.31,92949,3.87
0500000US06055,47315,2.87,33064,3.38
0500000US06057,41447,2.37,25779,2.88
0500000US06059,1040394,3.02,735186,3.54
0500000US06061,144691,2.68,99968,3.24
0500000US06065,728103,3.31,524194,3.95
0500000US06067,543560,2.79,359266,3.43
0500000US06071,638647,3.33,486914,3.81
0500000US06073,1130911,2.87,761247,3.44
0500000US06075,362827,2.38,178643,3.07
0500000US06077,231917,3.17,174492,3.64
0500000US06079,106198,2.52,67284,2.98
0500000US06081,259654,2.93,182198,3.44
0500000US06083,146224,2.92,100497,3.33
0500000US06085,645108,2.95,461799,3.41
0500000US06087,94994,2.75,62397,3.22
0500000US06089,68198,2.59,45982,3.04
0500000US06095,152291,2.86,108587,3.36
0500000US06097,187434,2.62,118022,3.16
0500000US06099,175171,3.11,128261,3.65
0500000US06101,31989,3.00,23427,3.51
0500000US06107,139197,3.31,103190,3.91
0500000US06111,271980,3.08,194306,3.62
0500000US06113,74428,2.85,46437,3.31
0500000US06115,26191,2.93,17889,3.47
0500000US08001,168361,3.02,118115,3.58
0500000US08005,242141,2.67,158118,3.27
0500000US08013,128295,2.44,74769,3.03
0500000US08014,28530,2.42,18556,2.94
0500000US08031,310324,2.26,145101,3.19
0500000US08035,125035,2.73,95944,3.13
0500000US08041,260851,2.67,176041,3.19
0500000US08059,233272,2.45,148258,3.00
0500000US08069,139382,2.44,85701,2.93
0500000US08077,61848,2.42,37310,3.02
0500000US08101,64954,2.52,41603,3.13
0500000US08123,107929,2.85,77930,3.31
0500000US09001,345634,2.68,237407,3.24
0500000US09003,348049,2.50,223589,3.13
0500000US09005,73598,2.42,46847,3.00
0500000US09007,66983,2.34,41772,2.94
0500000US09009,335539,2.47,207727,3.15
0500000US09011,108098,2.35,69117,2.88
0500000US09013,55619,2.44,35882,2.96
0500000US09015,44571,2.50,29594,3.02
0500000US10001,67841,2.55,44907,3.10
0500000US10003,206351,2.63,131524,3.32
0500000US10005,93479,2.42,61968,2.91
0500000US11001,287476,2.31,121529,3.38
0500000US12001,97782,2.61,49488,3.58
0500000US12005,73856,2.48,49233,3.04
0500000US12009,226363,2.61,140955,3.32
0500000US12011,694980,2.78,439980,3.54
0500000US12015,74975,2.42,47734,2.92
0500000US12017,62293,2.34,36112,3.06
0500000US12019,75958,2.83,58071,3.21
0500000US12021,144172,2.60,97654,3.10
0500000US12023,25678,2.56,15657,3.30
0500000US12031,367238,2.53,229923,3.15
0500000US12033,118820,2.51,70583,3.22
0500000US12035,41274,2.70,29721,3.10
0500000US12053,76163,2.48,52370,2.94
0500000US12055,40573,2.55,27635,3.06
0500000US12057,540142,2.62,342998,3.26
0500000US12061,57636,2.70,34563,3.54
0500000US12069,136366,2.59,94847,3.11
0500000US12071,281222,2.65,180020,3.29
0500000US12073,113390,2.45,61334,3.09
0500000US12081,150814,2.59,99502,3.14
0500000US12083,143441,2.44,93029,2.97
0500000US12085,63070,2.49,38310,3.18
0500000US12086,895801,3.03,622526,3.65
0500000US12087,31362,2.33,18944,2.79
0500000US12089,32624,2.60,23407,3.07
0500000US12091,79570,2.53,51819,3.08
0500000US12095,458157,2.94,298508,3.58
0500000US12097,102705,3.57,72198,4.29
0500000US12099,552286,2.65,337212,3.40
0500000US12101,205128,2.59,131802,3.22
0500000US12103,405892,2.35,221744,3.14
0500000US12105,241171,2.88,166438,3.41
0500000US12107,27927,2.61,17301,3.34
0500000US12109,90109,2.80,63627,3.31
0500000US12111,118768,2.68,81576,3.18
0500000US12113,63891,2.72,50566,3.01
0500000US12115,183721,2.29,112078,2.85
0500000US12117,179274,2.58,121209,3.09
0500000US12119,62854,1.90,40081,2.32
0500000US12127,218423,2.46,131946,3.11
0500000US12131,28770,2.43,19893,2.86
0500000US13013,27525,2.93,21369,3.35
0500000US13015,35506,2.97,26858,3.40
0500000US13021,57905,2.53,34437,3.31
0500000US13031,27097,2.52,16167,3.04
0500000US13045,41197,2.78,29111,3.22
0500000US13047,24722,2.70,17070,3.17
0500000US13051,107921,2.58,64383,3.35
0500000US13057,89974,2.81,68899,3.18
0500000US13059,49698,2.33,26138,2.92
0500000US13063,96286,2.95,64911,3.64
0500000US13067,283094,2.64,191753,3.15
0500000US13073,47167,3.26,35005,3.93
0500000US13077,52114,2.79,37623,3.27
0500000US13089,287001,2.59,165666,3.41
0500000US13095,33717,2.56,19901,3.30
0500000US13097,49534,2.91,35995,3.42
0500000US13113,39366,2.86,30120,3.32
0500000US13115,34672,2.70,24361,3.17
0500000US13117,81353,2.90,65991,3.24
0500000US13121,417157,2.44,230448,3.27
0500000US13127,34634,2.41,23068,2.87
0500000US13135,297658,3.10,223536,3.63
0500000US13139,64990,3.08,47579,3.65
0500000US13151,75926,3.02,59142,3.45
0500000US13153,58155,2.64,38986,3.22
0500000US13157,23640,2.94,19138,3.27
0500000US13185,41734,2.68,23712,3.63
0500000US13215,72862,2.58,43324,3.42
0500000US13217,38436,2.81,27727,3.37
0500000US13223,53630,3.05,41506,3.45
0500000US13245,70534,2.71,39598,3.76
0500000US13247,31460,2.85,22818,3.36
0500000US13255,25659,2.52,16956,3.06
0500000US13285,25417,2.70,17648,3.23
0500000US13295,26895,2.52,18983,3.02
0500000US13297,32624,2.84,24593,3.28
0500000US13313,36658,2.79,24907,3.50
0500000US15001,71565,2.77,46712,3.37
0500000US15003,308208,3.06,215379,3.67
0500000US15007,22685,3.14,16333,3.61
0500000US15009,52794,3.11,38425,3.53
0500000US16001,178712,2.58,116638,3.13
0500000US16005,30635,2.78,19895,3.46
0500000US16019,40224,2.88,28661,3.47
0500000US16027,74520,2.95,52768,3.51
0500000US16055,64955,2.46,44826,2.91
0500000US16083,32041,2.65,21908,3.23
0500000US17001,26397,2.43,17655,2.95
0500000US17019,84290,2.31,42528,3.09
0500000US17031,1981796,2.57,1181463,3.36
0500000US17037,38849,2.56,21298,3.36
0500000US17043,345714,2.65,244235,3.18
0500000US17089,183633,2.88,136596,3.33
0500000US17091,40642,2.57,26634,3.14
0500000US17093,40716,3.13,32362,3.54
0500000US17097,246620,2.76,178902,3.29
0500000US17099,44714,2.37,28804,2.96
0500000US17111,114544,2.68,87366,3.08
0500000US17113,65998,2.49,39649,3.10
0500000US17115,44562,2.27,27761,2.85
0500000US17119,108977,2.38,72691,2.85
0500000US17143,71506,2.45,42810,3.19
0500000US17161,61009,2.27,37658,2.85
0500000US17163,104803,2.46,62855,3.24
0500000US17167,83006,2.30,50266,2.91
0500000US17179,54123,2.40,36209,2.95
0500000US17183,30166,2.46,18856,3.13
0500000US17197,231647,2.95,175294,3.43
0500000US17199,27815,2.34,16751,2.98
0500000US17201,114337,2.45,74514,3.00
0500000US18003,147638,2.50,96270,3.11
0500000US18005,31891,2.56,20485,3.23
0500000US18011,24808,2.67,19702,3.00
0500000US18019,45905,2.53,30544,3.08
0500000US18035,45311,2.37,26313,3.00
0500000US18039,73660,2.74,53807,3.19
0500000US18043,30300,2.52,19707,3.14
0500000US18053,26923,2.23,17508,2.73
0500000US18057,122876,2.67,93370,3.08
0500000US18059,29605,2.56,20426,3.00
0500000US18063,60368,2.73,45502,3.16
0500000US18067,35139,2.31,23489,2.79
0500000US18081,57504,2.67,41158,3.16
0500000US18085,30798,2.52,20175,3.08
0500000US18089,186769,2.56,122000,3.20
0500000US18091,43122,2.37,27658,2.92
0500000US18095,50426,2.45,32081,3.03
0500000US18097,373634,2.51,206317,3.35
0500000US18105,57102,2.30,30220,2.84
0500000US18109,25968,2.66,19642,3.05
0500000US18127,66144,2.50,43374,3.12
0500000US18141,107730,2.40,65770,3.08
0500000US18157,70446,2.51,39265,3.18
0500000US18163,75058,2.32,43505,3.01
0500000US18167,43262,2.30,24852,2.86
0500000US18177,28338,2.23,18288,2.63
0500000US19013,53386,2.39,32401,2.93
0500000US19049,35492,2.52,24120,3.06
0500000US19061,38501,2.41,24381,2.98
0500000US19103,60868,2.36,33567,2.98
0500000US19113,91747,2.41,54685,3.09
0500000US19153,189546,2.52,119472,3.12
0500000US19155,36635,2.49,23277,3.12
0500000US19163,66905,2.54,41240,3.21
0500000US19169,37290,2.33,19329,2.85
0500000US19193,39253,2.54,26451,3.06
0500000US20015,24692,2.58,18338,2.99
0500000US20045,48907,2.32,26355,2.87
0500000US20091,231184,2.56,156199,3.14
0500000US20103,26654,2.83,18837,3.44
0500000US20161,26617,2.40,13019,2.90
0500000US20173,198024,2.56,123752,3.27
0500000US20177,72788,2.37,44345,3.03
0500000US20209,60708,2.70,38635,3.44
0500000US21015,47684,2.74,34483,3.22
0500000US21029,29789,2.71,21720,3.17
0500000US21037,36992,2.41,23003,3.03
0500000US21047,26114,2.47,18138,3.00
0500000US21059,39590,2.48,27174,2.96
0500000US21067,131067,2.38,75825,2.97
0500000US21093,41625,2.59,29677,3.05
0500000US21111,311263,2.42,186545,3.09
0500000US21117,64611,2.53,40085,3.19
0500000US21145,27650,2.31,16899,2.97
0500000US21151,33396,2.58,22411,3.04
0500000US21185,21237,2.97,17568,3.28
0500000US21227,48843,2.54,30497,3.04
0500000US22005,45102,2.74,34957,3.11
0500000US22015,50099,2.50,31921,3.21
0500000US22017,94778,2.51,57904,3.25
0500000US22019,78351,2.55,50083,3.19
0500000US22033,163274,2.64,95154,3.51
0500000US22045,25386,2.76,16865,3.35
0500000US22051,167596,2.57,105501,3.28
0500000US22055,94002,2.53,59081,3.20
0500000US22057,35838,2.69,23348,3.35
0500000US22063,49084,2.82,35951,3.23
0500000US22071,155104,2.41,68103,3.79
0500000US22073,55599,2.64,34490,3.43
0500000US22079,48915,2.58,32751,3.15
0500000US22097,29965,2.72,20018,3.40
0500000US22103,93589,2.74,67922,3.23
0500000US22105,47401,2.75,29605,3.51
0500000US22109,37911,2.90,26511,3.43
0500000US23001,44897,2.33,26533,2.98
0500000US23003,29931,2.16,17603,2.76
0500000US23005,123485,2.31,72142,2.93
0500000US23011,54299,2.18,31105,2.79
0500000US23019,61765,2.34,36788,2.91
0500000US23031,88416,2.30,54432,2.83
0500000US24001,27190,2.29,16619,2.87
0500000US24003,212687,2.63,145626,3.15
0500000US24005,313259,2.58,203785,3.22
0500000US24009,32145,2.84,24267,3.23
0500000US24013,60371,2.73,46205,3.13
0500000US24015,36620,2.77,25567,3.36
0500000US24017,56947,2.80,41483,3.30
0500000US24021,95903,2.62,66920,3.14
0500000US24025,94802,2.66,67774,3.16
0500000US24027,116903,2.74,86143,3.22
0500000US24031,368334,2.83,257291,3.40
0500000US24033,315759,2.82,206154,3.46
0500000US24037,41239,2.66,28173,3.26
0500000US24043,56306,2.51,37072,3.10
0500000US24045,38084,2.60,24972,3.12
0500000US24510,237204,2.44,117955,3.46
0500000US25001,86671,2.43,54040,3.01
0500000US25003,55212,2.16,31618,2.81
0500000US25005,215132,2.55,141303,3.13
0500000US25009,295481,2.62,198593,3.20
0500000US25011,30391,2.28,17645,2.89
0500000US25013,178678,2.55,113359,3.21
0500000US25015,58902,2.34,34059,2.98
0500000US25017,612224,2.54,385308,3.14
0500000US25021,267880,2.56,174936,3.17
0500000US25023,189304,2.67,131226,3.24
0500000US25025,315049,2.41,153541,3.19
0500000US25027,308831,2.60,202026,3.21
0500000US26005,43992,2.64,32703,3.00
0500000US26017,44469,2.31,29075,2.78
0500000US26021,64783,2.33,42226,2.86
0500000US26025,53914,2.42,33082,3.05
0500000US26037,29783,2.64,20746,3.11
0500000US26045,44879,2.41,29437,2.91
0500000US26049,169469,2.37,104915,2.97
0500000US26055,36782,2.47,22866,3.00
0500000US26065,112170,2.44,61958,3.13
0500000US26073,25367,2.53,14589,2.93
0500000US26075,62598,2.39,39406,3.01
0500000US26077,104234,2.46,61117,3.07
0500000US26081,244046,2.63,163120,3.16
0500000US26087,33560,2.57,23556,3.05
0500000US26091,38388,2.43,25874,2.91
0500000US26093,72676,2.61,54151,3.00
0500000US26099,347508,2.49,227394,3.11
0500000US26103,26328,2.40,15842,2.99
0500000US26111,34091,2.40,22495,2.93
0500000US26115,61586,2.42,42079,2.90
0500000US26121,67196,2.48,44746,2.96
0500000US26125,503645,2.48,317128,3.15
0500000US26139,103438,2.72,74706,3.14
0500000US26145,78740,2.34,50638,2.88
0500000US26147,65751,2.40,43184,2.88
0500000US26155,28218,2.39,19116,2.86
0500000US26159,28607,2.59,20700,3.03
0500000US26161,143072,2.45,82598,3.06
0500000US26163,687546,2.52,408205,3.34
0500000US27003,128140,2.74,90726,3.23
0500000US27013,26362,2.42,16209,2.80
0500000US27019,36925,2.78,27536,3.24
0500000US27037,162496,2.60,113191,3.12
0500000US27053,508964,2.43,292301,3.12
0500000US27109,63462,2.42,39793,3.06
0500000US27123,209287,2.56,118943,3.35
0500000US27131,23358,2.49,14748,3.15
0500000US27137,84370,2.26,47595,2.88
0500000US27139,50040,2.91,39923,3.24
0500000US27141,32033,2.93,23539,3.30
0500000US27145,58510,2.59,38320,3.12
0500000US27163,96387,2.65,68219,3.15
0500000US27171,48863,2.77,35755,3.21
0500000US28033,63075,2.87,45993,3.40
0500000US28035,27248,2.61,14427,3.64
0500000US28047,82375,2.45,52963,3.03
0500000US28049,85483,2.66,52610,3.46
0500000US28059,51659,2.75,33753,3.49
0500000US28067,25098,2.65,17400,3.30
0500000US28075,29993,2.40,18858,3.14
0500000US28081,32527,2.59,22217,3.15
0500000US28089,40229,2.56,29030,3.09
0500000US28121,55483,2.66,38785,3.22
0500000US29019,72217,2.37,39505,2.99
0500000US29021,33621,2.52,20116,3.18
0500000US29031,28675,2.63,18641,3.20
0500000US29037,40197,2.59,29713,2.99
0500000US29043,31421,2.75,22064,3.27
0500000US29047,91901,2.65,60259,3.29
0500000US29051,29593,2.44,19670,3.02
0500000US29071,40387,2.54,27834,3.03
0500000US29077,128691,2.18,72929,2.84
0500000US29095,288752,2.38,170337,3.07
0500000US29097,47846,2.47,31070,3.05
0500000US29099,85892,2.59,60625,3.04
0500000US29165,40086,2.55,26487,3.14
0500000US29183,149951,2.61,104615,3.16
0500000US29187,25670,2.32,16935,2.76
0500000US29189,408117,2.40,261684,3.00
0500000US29510,144295,2.03,63899,2.98
0500000US30013,35558,2.23,22216,2.77
0500000US30029,38372,2.63,24783,3.29
0500000US30031,44423,2.42,25853,2.94
0500000US30049,27842,2.40,16679,2.99
0500000US30063,50401,2.29,30045,2.77
0500000US30111,66805,2.35,40412,3.00
0500000US31055,220858,2.51,134887,3.19
0500000US31109,125917,2.42,73258,3.05
0500000US31153,66273,2.77,45555,3.34
0500000US32003,808605,2.73,507341,3.44
0500000US32031,185709,2.47,110715,3.11
0500000US33005,30208,2.38,16932,3.05
0500000US33009,35394,2.35,21676,2.90
0500000US33011,161649,2.52,104043,3.09
0500000US33013,58521,2.47,38014,3.02
0500000US33015,119467,2.57,82901,3.05
0500000US33017,48393,2.49,29606,3.07
0500000US34001,96981,2.67,64492,3.34
