geo_id,est_total_households_official,est_avg_household_size,est_total_families_official,est_avg_families_size
0500000US34003,339953,2.72,243393,3.28
0500000US34005,166698,2.60,115839,3.15
0500000US34007,188840,2.65,122775,3.29
0500000US34009,39208,2.30,25773,2.82
0500000US34011,50034,2.76,34428,3.35
0500000US34013,289921,2.68,189597,3.37
0500000US34015,101414,2.83,69496,3.44
0500000US34017,263924,2.53,158957,3.20
0500000US34019,47733,2.53,35139,2.98
0500000US34021,132980,2.66,89807,3.25
0500000US34023,285480,2.80,207900,3.31
0500000US34025,236327,2.60,163558,3.18
0500000US34027,181738,2.67,127292,3.24
0500000US34029,228622,2.60,150140,3.28
0500000US34031,169521,2.92,125204,3.42
0500000US34033,23952,2.55,16345,3.03
0500000US34035,118729,2.75,88135,3.25
0500000US34037,53749,2.58,38434,3.07
0500000US34039,192021,2.87,137761,3.41
0500000US34041,41742,2.49,27171,3.11
0500000US35001,270655,2.48,159729,3.20
0500000US35005,22616,2.76,15991,3.31
0500000US35013,80409,2.64,52763,3.27
0500000US35025,23215,2.88,16252,3.47
0500000US35031,21449,3.34,14809,4.20
0500000US35035,23747,2.64,13748,3.56
0500000US35043,53996,2.67,36841,3.17
0500000US35045,43707,2.82,29548,3.48
0500000US35049,62707,2.35,36488,3.07
0500000US35061,28379,2.64,18194,3.36
0500000US36001,126578,2.28,72332,3.00
0500000US36005,507370,2.74,323214,3.49
0500000US36007,75539,2.41,44761,3.09
0500000US36009,32079,2.31,21167,2.78
0500000US36011,30083,2.42,18400,2.96
0500000US36013,53429,2.28,31831,2.95
0500000US36015,34325,2.33,20837,2.93
0500000US36019,31392,2.31,20558,2.76
0500000US36027,108071,2.56,71635,3.15
0500000US36029,390341,2.28,230402,2.95
0500000US36045,44657,2.37,27993,2.95
0500000US36047,969317,2.62,591462,3.34
0500000US36051,23746,2.39,15133,2.88
0500000US36053,26127,2.50,17590,3.04
0500000US36055,301668,2.37,180738,3.00
0500000US36059,447123,2.99,340833,3.46
0500000US36061,752258,2.08,319832,3.02
0500000US36063,89765,2.30,55135,2.94
0500000US36065,88871,2.44,56426,3.04
0500000US36067,185046,2.39,115176,2.99
0500000US36069,44079,2.41,27228,3.06
0500000US36071,128259,2.89,90988,3.47
0500000US36075,46270,2.45,29546,2.95
0500000US36079,35425,2.73,27274,3.10
0500000US36081,788110,2.86,539742,3.42
0500000US36083,64614,2.38,40079,2.92
0500000US36085,167441,2.80,118442,3.40
0500000US36087,99502,3.21,74783,3.75
0500000US36089,41680,2.31,25979,2.88
0500000US36091,94156,2.40,60841,2.95
0500000US36093,55262,2.73,31289,3.75
0500000US36101,40578,2.32,25411,2.92
0500000US36103,496784,2.93,360416,3.45
0500000US36105,28900,2.50,17487,3.26
0500000US36109,40250,2.21,20642,2.77
0500000US36111,69154,2.41,42744,2.96
0500000US36113,28007,2.26,17052,2.88
0500000US36117,35927,2.46,24444,2.97
0500000US36119,352498,2.67,238521,3.30
0500000US37001,64700,2.50,40499,3.18
0500000US37019,56752,2.39,38908,2.87
0500000US37021,108411,2.33,62390,2.98
0500000US37023,36157,2.42,23863,2.98
0500000US37025,73751,2.84,54401,3.33
0500000US37027,31544,2.57,22449,3.09
0500000US37031,28720,2.38,18202,2.89
0500000US37035,62861,2.48,43671,2.95
0500000US37037,28343,2.56,20178,3.00
0500000US37045,34574,2.78,23916,3.35
0500000US37049,40412,2.43,27544,2.97
0500000US37051,127911,2.48,80255,3.19
0500000US37057,68761,2.40,47046,2.86
0500000US37063,127527,2.37,74670,3.04
0500000US37067,150437,2.45,92137,3.17
0500000US37069,26380,2.50,19248,2.90
0500000US37071,84999,2.59,56260,3.14
0500000US37081,209842,2.45,133620,3.02
0500000US37085,46015,2.85,32968,3.40
0500000US37089,49514,2.33,32138,2.90
0500000US37097,68328,2.59,50844,2.98
0500000US37101,70001,2.87,51274,3.39
0500000US37109,34233,2.42,24405,2.80
0500000US37119,418135,2.58,257010,3.27
0500000US37125,40756,2.39,26079,3.01
0500000US37127,37767,2.44,24960,2.98
0500000US37129,98151,2.29,53225,3.00
0500000US37133,66834,2.66,48917,3.12
0500000US37135,53959,2.49,32935,3.06
0500000US37147,69288,2.50,38161,3.19
0500000US37151,54783,2.59,38557,3.06
0500000US37155,46026,2.77,30683,3.47
0500000US37157,37476,2.38,25147,2.92
0500000US37159,53806,2.54,35893,3.10
0500000US37161,26305,2.49,17833,2.97
0500000US37171,29230,2.43,18984,3.07
0500000US37179,77696,3.01,61323,3.41
0500000US37183,408473,2.62,271974,3.19
0500000US37191,49019,2.45,32860,2.94
0500000US37193,30123,2.25,19108,2.82
0500000US37195,31817,2.51,18572,3.25
0500000US38015,40736,2.26,25038,2.85
0500000US38017,74343,2.37,41846,3.04
0500000US38035,30916,2.15,17304,2.75
0500000US38101,27887,2.35,14737,3.18
0500000US39003,41204,2.40,25968,2.94
0500000US39007,35445,2.65,22124,3.41
0500000US39009,22533,2.49,11577,3.13
0500000US39013,24742,2.56,14724,3.46
0500000US39017,143040,2.59,94760,3.16
0500000US39023,55327,2.38,34548,2.91
0500000US39025,77920,2.61,51525,3.19
0500000US39029,41884,2.36,26096,2.99
0500000US39035,542122,2.24,295330,3.05
0500000US39041,70501,2.87,53224,3.32
0500000US39043,31675,2.32,19697,2.91
0500000US39045,55934,2.73,40227,3.22
0500000US39049,519468,2.47,301328,3.18
0500000US39055,35387,2.63,25274,3.13
0500000US39057,66053,2.40,43123,2.88
0500000US39061,344562,2.32,200962,3.00
0500000US39063,31606,2.34,19705,2.93
0500000US39081,27292,2.33,16722,2.95
0500000US39085,96577,2.36,61277,2.95
0500000US39089,62237,2.76,44495,3.23
0500000US39093,121344,2.48,80178,3.04
0500000US39095,178289,2.36,103610,3.05
0500000US39099,97365,2.29,59412,2.90
0500000US39101,24205,2.47,14270,3.27
0500000US39103,70609,2.52,52471,2.92
0500000US39109,41148,2.56,26294,3.31
0500000US39113,224225,2.29,131352,2.93
0500000US39119,34471,2.44,22554,2.94
0500000US39133,60801,2.56,38898,3.12
0500000US39139,48105,2.37,30700,2.96
0500000US39141,29779,2.39,19678,2.89
0500000US39145,28719,2.50,19352,3.05
0500000US39151,152210,2.38,94986,3.00
0500000US39153,226243,2.35,135033,3.03
0500000US39155,83303,2.34,51155,2.98
0500000US39157,36740,2.48,23757,3.08
0500000US39165,83540,2.68,64821,3.05
0500000US39169,43908,2.54,29166,3.11
0500000US39173,50694,2.45,30674,3.07
0500000US40017,45344,3.14,33681,3.68
0500000US40027,110775,2.44,74314,2.87
0500000US40031,42489,2.62,28582,3.18
0500000US40037,26957,2.62,19555,3.09
0500000US40101,26566,2.41,18393,2.89
0500000US40109,302645,2.57,186085,3.28
0500000US40119,30734,2.40,16198,3.07
0500000US40125,26714,2.61,18842,3.10
0500000US40131,35254,2.57,26043,2.97
0500000US40143,250492,2.56,158364,3.22
0500000US40145,30186,2.65,22783,3.03
0500000US41003,35520,2.43,20800,2.87
0500000US41005,158749,2.60,112337,3.02
0500000US41017,79950,2.38,51474,2.86
0500000US41019,45647,2.38,29874,2.81
0500000US41029,89787,2.40,57462,2.90
0500000US41033,37059,2.33,23893,2.81
0500000US41035,26798,2.49,16551,3.10
0500000US41039,156072,2.38,91178,2.85
0500000US41043,48464,2.60,33226,3.04
0500000US41047,119511,2.81,81647,3.35
0500000US41051,330223,2.40,175694,3.10
0500000US41053,31218,2.68,21756,3.05
0500000US41059,26048,2.80,17297,3.37
0500000US41067,225955,2.62,149665,3.16
0500000US41071,37235,2.73,24476,3.40
0500000US42001,39570,2.49,27421,2.98
0500000US42003,543369,2.18,303257,2.89
0500000US42005,27332,2.36,17972,2.93
0500000US42007,73059,2.22,45627,2.77
0500000US42011,157006,2.59,108057,3.11
0500000US42013,51096,2.34,32833,2.88
0500000US42017,239962,2.58,171229,3.07
0500000US42019,77764,2.35,51885,2.86
0500000US42021,56483,2.21,35505,2.75
0500000US42025,25177,2.51,17193,2.97
0500000US42027,58514,2.47,32350,2.98
0500000US42029,192746,2.63,138582,3.08
0500000US42033,31992,2.30,20941,2.83
0500000US42037,26655,2.30,14947,3.02
0500000US42039,34386,2.37,21985,2.93
0500000US42041,102243,2.33,63498,2.91
0500000US42043,112559,2.40,69919,3.01
0500000US42045,207499,2.61,139055,3.25
0500000US42049,109797,2.36,68334,2.94
0500000US42051,56085,2.23,37447,2.68
0500000US42055,59834,2.55,43935,2.95
0500000US42063,33098,2.37,21675,2.82
0500000US42069,88268,2.30,53538,2.89
0500000US42071,202490,2.63,140049,3.18
0500000US42073,37497,2.24,24528,2.72
0500000US42075,54522,2.53,38309,2.99
0500000US42077,138586,2.59,90549,3.19
0500000US42079,128301,2.38,80556,2.97
0500000US42081,44585,2.40,29131,2.88
0500000US42085,46809,2.21,29050,2.75
0500000US42089,55109,3.03,38090,3.72
0500000US42091,313336,2.58,217738,3.13
0500000US42095,114996,2.55,77576,3.08
0500000US42097,38816,2.24,24812,2.79
0500000US42101,608233,2.52,325909,3.45
0500000US42107,58458,2.31,36189,2.91
0500000US42111,28796,2.38,20003,2.84
0500000US42125,85835,2.35,54054,2.99
0500000US42129,150368,2.28,97065,2.81
0500000US42133,173958,2.52,120331,3.03
0500000US44003,69115,2.35,42333,3.01
0500000US44005,34316,2.29,20562,2.92
0500000US44007,237038,2.58,138683,3.37
0500000US44009,47680,2.51,33596,2.93
0500000US45003,68609,2.43,44856,3.06
0500000US45007,78500,2.52,52409,3.11
0500000US45013,74679,2.45,52507,2.92
0500000US45015,78168,2.78,55010,3.29
0500000US45019,160457,2.45,93097,3.16
0500000US45031,25308,2.59,15322,3.39
0500000US45035,55799,2.85,39863,3.40
0500000US45041,50518,2.68,34199,3.21
0500000US45045,192556,2.61,124883,3.28
0500000US45047,27962,2.44,18700,3.02
0500000US45051,131180,2.58,81977,3.23
0500000US45055,24756,2.64,17157,3.20
0500000US45057,35710,2.62,26981,3.03
0500000US45059,25423,2.54,17551,3.04
0500000US45063,115566,2.53,76627,3.08
0500000US45073,31612,2.45,19747,3.14
0500000US45075,33561,2.49,20665,3.20
0500000US45077,48185,2.46,28804,3.02
0500000US45079,152227,2.53,92710,3.21
0500000US45083,116018,2.64,80444,3.19
0500000US45085,40396,2.56,28662,3.06
0500000US45091,100623,2.69,67642,3.31
0500000US46099,76630,2.43,47106,3.06
0500000US46103,44794,2.41,27749,2.96
0500000US47001,29505,2.55,18778,3.21
0500000US47009,51446,2.51,38384,2.92
0500000US47011,39104,2.65,26252,3.20
0500000US47037,283445,2.37,159825,3.03
0500000US47059,27316,2.45,19095,2.89
0500000US47065,146057,2.41,91666,3.01
0500000US47093,185416,2.45,115889,3.04
0500000US47113,39223,2.39,24957,3.01
0500000US47119,34361,2.71,24730,3.22
0500000US47125,72973,2.77,52385,3.25
0500000US47141,33388,2.27,21230,2.77
0500000US47147,26375,2.66,21004,2.99
0500000US47149,115376,2.77,79776,3.24
0500000US47155,36861,2.62,25822,3.07
0500000US47157,352648,2.61,214219,3.44
0500000US47163,64504,2.40,39586,3.09
0500000US47165,68439,2.71,49307,3.16
0500000US47179,54433,2.27,34181,2.83
0500000US47187,80601,2.87,63944,3.25
0500000US47189,52489,2.65,38241,3.06
0500000US48005,29898,2.81,21615,3.36
0500000US48021,25334,3.34,18858,3.88
0500000US48027,123188,2.79,83783,3.43
0500000US48029,644193,3.04,411518,3.89
0500000US48037,35228,2.51,23551,3.12
0500000US48039,120802,2.96,86582,3.57
0500000US48041,81030,2.61,42273,3.35
0500000US48061,124812,3.37,99070,3.89
0500000US48085,344824,2.90,253044,3.40
0500000US48091,53182,2.77,38383,3.35
0500000US48099,21491,2.76,14496,3.44
0500000US48113,937438,2.78,601367,3.54
0500000US48121,297899,2.85,212406,3.35
0500000US48135,54326,2.95,38983,3.53
0500000US48139,58633,3.03,46089,3.48
0500000US48141,270160,3.06,190227,3.74
0500000US48157,245410,3.19,199146,3.60
0500000US48167,121976,2.71,82957,3.32
0500000US48181,48963,2.69,31837,3.42
0500000US48183,45513,2.63,29512,3.28
0500000US48187,54789,2.96,41568,3.44
0500000US48201,1600357,2.91,1102826,3.55
0500000US48203,22928,2.85,15766,3.51
0500000US48209,75164,2.88,48342,3.46
0500000US48213,30843,2.62,20780,3.19
0500000US48215,237323,3.61,190170,4.15
0500000US48231,34132,2.74,23519,3.37
0500000US48245,90839,2.63,58949,3.32
0500000US48251,59180,2.85,44857,3.26
0500000US48257,39049,3.26,30719,3.65
0500000US48291,27468,2.83,18066,3.66
0500000US48303,115686,2.55,71198,3.15
0500000US48309,92158,2.66,60708,3.17
0500000US48329,57636,2.96,38617,3.69
0500000US48339,202797,2.90,147327,3.43
0500000US48347,23442,2.58,14717,3.13
0500000US48355,129987,2.72,87889,3.32
0500000US48361,30047,2.76,20284,3.41
0500000US48367,46238,2.95,34321,3.49
0500000US48375,45550,2.47,28561,3.17
0500000US48381,49457,2.71,34152,3.34
0500000US48397,34590,2.89,29363,3.17
0500000US48409,22202,2.98,16235,3.53
0500000US48423,77330,2.90,54682,3.53
0500000US48439,722473,2.85,502918,3.43
0500000US48441,49811,2.63,32688,3.22
0500000US48451,43301,2.58,28326,3.18
0500000US48453,486548,2.52,281467,3.18
0500000US48469,31918,2.84,21814,3.52
0500000US48471,22693,2.34,13354,2.86
0500000US48479,75300,3.62,59208,4.20
0500000US48485,46757,2.53,30563,3.10
0500000US48491,185345,3.04,135729,3.52
0500000US48497,22864,2.95,17357,3.42
0500000US49005,39224,3.16,29646,3.59
0500000US49011,104462,3.34,83092,3.79
0500000US49035,381831,2.98,265179,3.56
0500000US49045,20411,3.41,15962,3.87
0500000US49049,171117,3.55,140373,3.86
0500000US49053,59863,2.83,44128,3.28
0500000US49057,85615,2.96,63224,3.42
0500000US50007,66095,2.34,37668,2.93
0500000US51003,41956,2.39,26631,2.90
0500000US51013,109940,2.13,51898,2.90
0500000US51015,29783,2.37,20628,2.82
0500000US51019,31271,2.50,21765,2.89
0500000US51041,126748,2.72,93676,3.18
0500000US51059,396628,2.88,284876,3.37
0500000US51061,25134,2.80,18279,3.22
0500000US51069,31551,2.77,23773,3.16
0500000US51085,39929,2.64,29717,3.10
0500000US51087,129408,2.52,81503,3.20
0500000US51095,29849,2.52,21705,2.93
0500000US51107,133417,3.03,103064,3.43
0500000US51121,34585,2.59,17953,3.02
0500000US51153,143861,3.23,110771,3.65
0500000US51161,38061,2.41,25320,2.96
0500000US51165,31462,2.53,22397,3.00
0500000US51177,45223,2.96,35096,3.35
0500000US51179,48418,3.03,39246,3.33
0500000US51199,24996,2.65,16763,3.32
0500000US51510,71740,2.22,35480,3.01
0500000US51550,86122,2.75,63748,3.18
0500000US51650,54800,2.37,31422,3.02
0500000US51680,28500,2.52,14511,3.45
0500000US51700,71291,2.38,41824,3.11
0500000US51710,89338,2.43,51345,3.14
0500000US51740,34578,2.62,19958,3.41
0500000US51760,91359,2.39,40477,3.36
0500000US51770,41353,2.37,22638,3.17
0500000US51800,34890,2.60,24434,3.15
0500000US51810,172183,2.56,116678,3.07
0500000US53005,71921,2.79,48936,3.35
0500000US53007,31587,2.40,20322,2.99
0500000US53009,33265,2.27,21564,2.75
0500000US53011,178980,2.67,124605,3.13
0500000US53015,43279,2.49,28076,3.02
0500000US53021,27067,3.40,21365,3.71
0500000US53025,30806,3.13,21332,3.84
0500000US53027,27674,2.56,17388,3.21
0500000US53029,34572,2.39,24156,2.81
0500000US53033,897476,2.45,536144,3.05
0500000US53035,105411,2.49,70776,2.94
0500000US53041,30327,2.58,20221,3.11
0500000US53045,25864,2.49,15168,3.17
0500000US53053,328519,2.65,223206,3.18
0500000US53057,48474,2.61,33216,3.07
0500000US53061,300215,2.68,211582,3.11
0500000US53063,206191,2.42,129299,2.98
0500000US53067,110713,2.55,73809,3.02
0500000US53073,87080,2.53,52754,3.01
0500000US53077,83320,2.97,60727,3.46
0500000US54003,45800,2.54,29077,3.13
0500000US54011,38024,2.34,20673,3.15
0500000US54033,26878,2.47,16051,3.17
0500000US54039,78482,2.26,45228,2.94
0500000US54061,40603,2.49,21507,3.14
0500000US54081,31169,2.28,19889,2.82
0500000US54107,36064,2.31,22130,2.93
0500000US55009,104470,2.45,66181,3.04
0500000US55025,226350,2.34,127612,2.95
0500000US55027,35221,2.38,23524,2.85
0500000US55035,40421,2.50,22752,3.14
0500000US55039,41009,2.43,26010,3.01
0500000US55055,33180,2.46,22536,2.97
0500000US55059,62950,2.62,41835,3.14
0500000US55063,47924,2.36,26812,2.96
0500000US55071,35259,2.21,21201,2.75
0500000US55073,56245,2.38,37425,2.88
0500000US55079,384281,2.41,218292,3.18
0500000US55087,74603,2.47,50437,3.00
0500000US55089,36261,2.40,25444,2.89
0500000US55097,29193,2.32,17499,2.88
0500000US55101,76808,2.48,50339,3.04
0500000US55105,64632,2.48,40744,3.01
0500000US55109,34422,2.58,24646,3.02
0500000US55117,46308,2.43,29351,3.09
0500000US55127,40864,2.47,26923,2.94
0500000US55131,55488,2.43,38313,2.95
0500000US55133,158368,2.51,110134,3.03
0500000US55139,71332,2.29,41338,2.92
0500000US55141,32274,2.24,19775,2.78
0500000US56021,39678,2.45,25836,3.07
0500000US56025,32240,2.40,20266,2.97
0500000US72013,30206,2.68,20820,3.29
0500000US72021,64932,2.55,43141,3.19
0500000US72025,47374,2.60,31241,3.15
0500000US72031,61313,2.40,40612,2.95
0500000US72061,27857,2.99,17947,3.88
0500000US72097,30909,2.29,16748,3.02
0500000US72113,53450,2.42,34737,3.03
0500000US72127,147267,2.13,83520,2.81
0500000US72135,21511,3.29,16232,3.97
0500000US72137,26085,2.85,18440,3.41
0500000US72139,23195,2.71,16876,3.17
