state, cable_price
Alabama, 0.55
Arizona, 0.55
Arkansas, 0.55
California, 0.27
Colorado, 0.83
Connecticut, 0.67
Delaware, 0.85
Florida, 0.83
Georgia, 0.83
Idaho, 0.55
Illinois, 0.55
Indiana, 0.55
lowa, 0.50
Kansas, 0.55
Kentucky, 0.83
Louisiana, 0.55
Maine, 0.83
Maryland, 0.83
Massachusetts , 0.40
Michigan, 0.44
Minnesota, 0.55
Mississippi, 0.55
Missouri, 0.55
Nebraska, 0.65
New Hampshire , 0.65
New Jersey, 0.65
New Mexico, 0.55
New York, 0.83
North Carolina, 0.83
North Dakota, 0.55
Ohio, 0.65
Oklahoma, 0.55
Oregon, 0.55
Pennsylvania, 0.83
South Carolina, 0.83
South Dakota, 0.55
Tennessee, 0.55
Texas, 0.12
Utah, 0.75
Vermont, 0.83
Virginia, 0.83
Washington, 0.55
West Virginia, 0.70
Wisconsin, 0.83
Wyoming, 1.00